1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
9000000,9179453,9351443,9521582,9691732,10203124,10476080,10749485,11030990,11320401,11613659,11906605,12192760,12469563,12736621,12993718,13244181,13488237,13729735,13971907,14216764,14466550,14722665,14986493,15259060,15540728,16235342,16666318,17035072,17394058,17756895,18128983,18511938,18906575,19313871,19734533,20169450,20169450,20169450,20305916,20444203,20584523,20495593,20638905,20784713,20933120,21084197,21237978,21394458,21509147,21625679,21743894,21863583,21984480,22059844,22135138,22209908,22283633,22355722,22425512,22492267,22555169,22613322,22665749,22711387,22749090,22777626,22795680,22801856,22794679,22772599,22734001
9000000,9411855.289,9829153.145,10250807.82,10675686.09,11102619.16,11530415.29,11957873.12,12383795.04,12807000.63,13226339.59,13640704.05,14049039.77,14450356.31,14843735.65,15228339.34,15603414.05,15968295.44,16322410.41,16665277.81,16996507.69,17315799.23,17622937.5,17917789.26,18200297.97,18470478.14,18728409.28,18974229.55,19208129.32,19430344.67,19641151.09,19840857.36,20029799.69,20208336.31,20376842.36,20535705.25,20685320.47,20826087.76,20958407.82,21082679.37,21199296.61,21308647.12,21411109.96,21507054.31,21596838.18,21680807.52,21759295.52,21832622.14,21901093.75,21965003.02,22024628.87,22080236.56,22132077.93,22180391.57,22225403.25,22267326.21,22306361.64,22342699.09,22376516.95,22407982.92,22437254.51,22464479.51,22489796.47,22513335.19,22535217.19,22555556.15,22574458.34,22592023.08,22608343.11,22623505.01,22637589.56,22650672.1
